Wavelength,Average,Red,Green,Blue
297.353,0,0,0,0
297.559,0,0,0,0
297.765,0,0,0,0
297.970,0,0,0,0
298.176,0,0,0,0
298.382,0,0,0,0
298.588,0,0,0,0
298.793,0,0,0,0
298.999,0,0,0,0
299.205,0,0,0,0
299.410,0,0,0,0
299.616,0,0,0,0
299.822,0,0,0,0
300.027,0,0,0,0
300.233,0,0,0,0
300.439,0,0,0,0
300.644,0,0,0,0
300.850,0,0,0,0
301.056,0,0,0,0
301.261,0,0,0,0
301.467,0,0,0,0
301.673,0,0,0,0
301.878,0,0,0,0
302.084,0,0,0,0
302.290,0,0,0,0
302.496,0,0,0,0
302.701,0,0,0,0
302.907,0,0,0,0
303.113,0,0,0,0
303.318,0,0,0,0
303.524,0,0,0,0
303.730,0,0,0,0
303.935,0,0,0,0
304.141,0,0,0,0
304.347,0,0,0,0
304.552,0,0,0,0
304.758,0,0,0,0
304.964,0,0,0,0
305.169,0,0,0,0
305.375,0,0,0,0
305.581,0,0,0,0
305.786,0,0,0,0
305.992,0,0,0,0
306.198,0,0,0,0
306.404,0,0,0,0
306.609,0,0,0,0
306.815,0,0,0,0
307.021,0,0,0,0
307.226,0,0,0,0
307.432,0,0,0,0
307.638,0,0,0,0
307.843,0,0,0,0
308.049,0,0,0,0
308.255,0,0,0,0
308.460,0,0,0,0
308.666,0,0,0,0
308.872,0,0,0,0
309.077,0,0,0,0
309.283,0,0,0,0
309.489,0,0,0,0
309.695,0,0,0,0
309.900,0,0,0,0
310.106,0,0,0,0
310.312,0,0,0,0
310.517,0,0,0,0
310.723,0,0,0,0
310.929,0,0,0,0
311.134,0,0,0,0
311.340,0,0,0,0
311.546,0,0,0,0
311.751,0,0,0,0
311.957,0,0,0,0
312.163,0,0,0,0
312.368,0,0,0,0
312.574,0,0,0,0
312.780,0,0,0,0
312.985,0,0,0,0
313.191,0,0,0,0
313.397,0,0,0,0
313.603,0,0,0,0
313.808,0,0,0,0
314.014,0,0,0,0
314.220,0,0,0,0
314.425,0,0,0,0
314.631,0,0,0,0
314.837,0,0,0,0
315.042,0,0,0,0
315.248,0,0,0,0
315.454,0,0,0,0
315.659,0,0,0,0
315.865,0,0,0,0
316.071,0,0,0,0
316.276,0,0,0,0
316.482,0,0,0,0
316.688,0,0,0,0
316.893,0,0,0,0
317.099,0,0,0,0
317.305,0,0,0,0
317.511,0,0,0,0
317.716,0,0,0,0
317.922,0,0,0,0
318.128,0,0,0,0
318.333,0,0,0,0
318.539,0,0,0,0
318.745,0,0,0,0
318.950,0,0,0,0
319.156,0,0,0,0
319.362,0,0,0,0
319.567,0,0,0,0
319.773,0,0,0,0
319.979,0,0,0,0
320.184,0,0,0,0
320.390,0,0,0,0
320.596,0,0,0,0
320.801,0,0,0,0
321.007,0,0,0,0
321.213,0,0,0,0
321.419,0,0,0,0
321.624,0,0,0,0
321.830,0,0,0,0
322.036,0,0,0,0
322.241,0,0,0,0
322.447,0,0,0,0
322.653,0,0,0,0
322.858,0,0,0,0
323.064,0,0,0,0
323.270,0,0,0,0
323.475,0,0,0,0
323.681,0,0,0,0
323.887,0,0,0,0
324.092,0,0,0,0
324.298,0,0,0,0
324.504,0,0,0,0
324.709,0,0,0,0
324.915,0,0,0,0
325.121,0,0,0,0
325.327,0,0,0,0
325.532,0,0,0,0
325.738,0,0,0,0
